word1,word2,count
my,dear,6
of,them,5
that,he,5
mr,bennet,4
you,must,4
and,i,3
dear,you,3
how,can,3
it,is,3
mr,bingley,3
one,of,3
will,be,3
you,are,3
a,woman,2
bennet,replied,2
but,it,2
can,you,2
do,not,2
for,my,2
half,so,2
handsome,as,2
have,no,2
he,comes,2
his,marrying,2
his,wife,2
i,am,2
i,have,2
in,a,2
in,such,2
is,not,2
large,fortune,2
man,of,2
mrs,long,2
must,know,2
of,his,2
of,large,2
of,the,2
the,girls,2
thinking,of,2
to,be,2
to,see,2
visit,him,2
want,to,2
woman,has,2
you,and,2
_can_,you,1
_have_,had,1
_her_,the,1
_may_,fall,1
_us_,to,1
_you_,want,1
a,bit,1
a,chaise,1
a,few,1
a,fine,1
a,good,1
a,high,1
a,single,1
a,way,1
a,year,1
a,young,1
about,it,1
abuse,your,1
account,for,1
affect,them,1
agreed,with,1
all,about,1
all,silly,1
always,giving,1
am,sure,1
am,thinking,1
an,establishment,1
and,four,1
and,ignorant,1
and,lady,1
and,see,1
and,she,1
and,some,1
and,the,1
and,therefore,1
and,was,1
any,of,1
anything,extraordinary,1
are,always,1
are,determined,1
are,over,1
are,to,1
as,any,1
as,handsome,1
as,he,1
as,jane,1
as,lydia,1
as,you,1
assure,him,1
assure,you,1
be,anything,1
be,for,1
be,impossible,1
be,in,1
be,so,1
be,still,1
be,sure,1
be,very,1
beauty,but,1
beauty,to,1
been,here,1
before,michaelmas,1
bennet,how,1
bennet,made,1
best,of,1
better,for,1
better,than,1
bingley,may,1
bingley,when,1
bingley,will,1
bit,better,1
but,consider,1
but,lizzy,1
but,my,1
but,you,1
by,a,1
by,the,1
by,themselves,1
by,you,1
can,it,1
cases,a,1
certainly,_have_,1
chaise,and,1
children,in,1
chooses,of,1
comes,into,1
compassion,for,1
consent,to,1
consider,your,1
cried,his,1
dare,say,1
daughters,only,1
daughters,she,1
dear,i,1
dear,mr,1
dear,to,1
delight,in,1
delighted,with,1
design,in,1
design,nonsense,1
desire,you,1
determined,to,1
do,no,1
do,you,1
down,on,1
end,of,1
engage,for,1
england,that,1
establishment,it,1
extraordinary,now,1
fall,in,1
few,lines,1
fine,thing,1
five,thousand,1
flatter,me,1
for,_us_,1
for,as,1
for,i,1
for,in,1
for,it,1
for,mrs,1
for,one,1
for,our,1
for,that,1
for,your,1
fortune,four,1
fortune,from,1
four,or,1
four,to,1
from,the,1
general,you,1
girls,but,1
girls,may,1
girls,though,1
give,over,1
giving,_her_,1
glad,to,1
go,and,1
go,for,1
go,merely,1
go,or,1
good,humoured,1
good,word,1
grown,up,1
had,my,1
had,not,1
has,five,1
has,just,1
has,not,1
has,something,1
has,taken,1
have,a,1
have,none,1
he,agreed,1
he,came,1
he,chooses,1
he,had,1
he,married,1
he,they,1
hearing,it,1
hearty,consent,1
her,own,1
her,sisters,1
here,and,1
high,respect,1
him,as,1
him,if,1
him,of,1
his,design,1
his,name,1
his,servants,1
house,by,1
how,_can_,1
how,so,1
humoured,as,1
i,assure,1
i,certainly,1
i,dare,1
i,desire,1
i,do,1
i,engage,1
i,must,1
i,see,1
i,will,1
if,you,1
ignorant,like,1
immediately,that,1
impossible,for,1
in,general,1
in,love,1
in,settling,1
in,the,1
in,vexing,1
indeed,go,1
indeed,you,1
invitation,enough,1
is,he,1
is,his,1
is,more,1
is,returned,1
is,taken,1
is,that,1
is,to,1
is,very,1
it,affect,1
it,cried,1
it,that,1
it,will,1
it,would,1
jane,nor,1
just,been,1
know,mrs,1
know,that,1
know,they,1
know,who,1
lady,lucas,1
like,other,1
like,you,1
likely,that,1
lines,by,1
little,lizzy,1
lizzy,has,1
lizzy,is,1
long,has,1
long,says,1
love,with,1
lucas,are,1
lydia,but,1
made,no,1
married,or,1
marrying,one,1
marrying,whichever,1
may,go,1
may,like,1
may,send,1
me,all,1
me,and,1
me,i,1
me,my,1
me,you,1
merely,on,1
michaelmas,and,1
mistake,me,1
monday,in,1
more,of,1
more,than,1
morris,immediately,1
mr,morris,1
much,beauty,1
much,to,1
must,go,1
must,indeed,1
must,throw,1
must,visit,1
my,little,1
my,poor,1
my,share,1
nerves,they,1
netherfield,is,1
newcomers,indeed,1
next,week,1
no,answer,1
no,compassion,1
no,objection,1
no,occasion,1
no,such,1
none,of,1
nonsense,how,1
nor,half,1
north,of,1
not,a,1
not,half,1
not,often,1
not,pretend,1
not,want,1
now,when,1
objection,to,1
occasion,for,1
of,beauty,1
of,england,1
of,her,1
of,my,1
of,next,1
often,much,1
oh,single,1
on,monday,1
on,that,1
only,think,1
or,single,1
or,you,1
other,girls,1
others,and,1
ought,to,1
our,girls,1
over,scrupulous,1
over,thinking,1
own,beauty,1
own,children,1
perhaps,will,1
place,and,1
poor,nerves,1
possession,before,1
pretend,to,1
quickness,than,1
recommend,them,1
replied,he,1
replied,his,1
replied,that,1
respect,for,1
returned,she,1
say,mr,1
says,that,1
scrupulous,surely,1
see,mr,1
see,no,1
see,the,1
see,you,1
send,a,1
servants,are,1
settling,here,1
share,of,1
she,for,1
she,is,1
she,ought,1
silly,and,1
single,man,1
single,my,1
sir,william,1
so,but,1
so,handsome,1
so,how,1
so,much,1
so,tiresome,1
some,of,1
something,more,1
soon,as,1
still,better,1
such,a,1
such,cases,1
such,thing,1
sure,a,1
sure,she,1
surely,i,1
take,delight,1
take,possession,1
taken,it,1
talk,so,1
tell,me,1
than,her,1
than,i,1
than,the,1
that,account,1
that,his,1
that,i,1
that,netherfield,1
that,you,1
the,best,1
the,end,1
the,house,1
the,neighbourhood,1
the,north,1
the,place,1
the,preference,1
them,and,1
them,by,1
them,mr,1
them,much,1
them,replied,1
them,sir,1
themselves,which,1
therefore,you,1
they,are,1
they,have,1
they,visit,1
thing,for,1
thing,lizzy,1
think,of,1
think,what,1
this,was,1
thousand,a,1
throw,in,1
tiresome,you,1
to,assure,1
to,give,1
to,hearing,1
to,his,1
to,know,1
to,recommend,1
to,take,1
to,tell,1
to,think,1
told,me,1
up,daughters,1
very,likely,1
vexing,me,1
visit,no,1
was,invitation,1
was,so,1
way,you,1
what,a,1
what,an,1
what,is,1
when,a,1
when,he,1
which,perhaps,1
whichever,he,1
who,has,1
why,my,1
wife,how,1
wife,impatiently,1
will,do,1
will,send,1
william,and,1
with,it,1
with,mr,1
with,one,1
word,for,1
year,what,1
you,abuse,1
you,be,1
you,do,1
you,flatter,1
you,have,1
you,know,1
you,may,1
you,mistake,1
you,not,1
you,talk,1
you,the,1
you,to,1
you,will,1
young,man,1
your,daughters,1
your,nerves,1
your,own,1
